,Timewindow,Sentiment,Volume,TweetIds
72,23-September-2022 12:00:00-12:29:59,0.27532307692307695,13,"1573288513315143680,1573288138801291264,1573287124824363009,1573285298033029120,1573285264503738370,1573284406147837954,1573284313696980993,1573283556805251072,1573282034109251587,1573282002958180352,1573281844631863297,1573281583905341443,1573281034774388740"
73,23-September-2022 12:30:00-12:59:59,0.08645833333333335,12,"1573295029095124993,1573294995234516995,1573294907762085891,1573294697535377408,1573294328176320512,1573294283339210754,1573293679875588098,1573293111765340162,1573292274511118336,1573291487454199814,1573290083494641664,1573288903486087168"
74,23-September-2022 13:00:00-13:29:59,0.0582625,16,"1573302444607545347,1573302291159199744,1573300680441450499,1573300591715024896,1573300490137395200,1573300440451747840,1573299896110694401,1573299164351729666,1573298635806478336,1573298526255210496,1573297913689694209,1573296808042041344,1573296640068571136,1573296287390244865,1573296283162673157,1573296134168186881"
75,23-September-2022 13:30:00-13:59:59,0.05103,20,"1573310439962083344,1573310365949100032,1573310003708153858,1573309677508915200,1573309249932955649,1573309233134796802,1573309150259445760,1573308918205681665,1573308879790051328,1573308793307512832,1573307909353705473,1573307822829629440,1573307722719760386,1573306317061910529,1573305376858161153,1573304541663137793,1573304486034128898,1573303711304192000,1573303677561237504,1573303670363619331"
76,23-September-2022 14:00:00-14:29:59,0.017076470588235297,17,"1573317997200281601,1573317454637371393,1573317282301939712,1573315482354155521,1573315235074678785,1573314106521681921,1573314017879285760,1573313940334968833,1573313784693006341,1573312983916285952,1573312777296531456,1573312725358370817,1573312482227134465,1573312266551926790,1573312175736750080,1573311712509546496,1573311391158632450"
77,23-September-2022 14:30:00-14:59:59,0.22565333333333334,15,"1573325876288262145,1573325411299348485,1573325225046966273,1573324916107235330,1573323542317666305,1573323257184669696,1573323054834401280,1573322740672745472,1573322077150613505,1573321894664749056,1573320128409772032,1573319672388546563,1573319592860057601,1573319284612284418,1573318903815626752"
78,23-September-2022 15:00:00-15:29:59,0.3859357142857143,14,"1573333725647179777,1573332693936472064,1573332368093597698,1573331108267282432,1573331107591995393,1573330827672719361,1573330362264059904,1573328927866720258,1573328479151882240,1573328274893246465,1573328116050714627,1573326884330688513,1573326710543720453,1573326527487434755"
79,23-September-2022 15:30:00-15:59:59,0.37958571428571425,7,"1573341385918451714,1573339924358729728,1573339446090637312,1573337907775119362,1573336896461492225,1573335942773047296,1573335635116818432"
80,23-September-2022 16:00:00-16:29:59,0.03229473684210528,19,"1573348175787720707,1573346511819345922,1573346465577308167,1573346116539654144,1573345959668391937,1573345807583019013,1573345241817546752,1573344631391227904,1573344075100884997,1573343175208587268,1573343044312743939,1573342933641723905,1573342848283467776,1573342379205136385,1573342212838293504,1573342191895855104,1573341577421864961,1573341552398721025,1573341440259854338"
81,23-September-2022 16:30:00-16:59:59,0.1587833333333333,6,"1573356422796308483,1573354712161984512,1573353053839040512,1573352341243568129,1573351559307661313,1573349506405781504"
82,23-September-2022 17:00:00-17:29:59,0.11535999999999999,10,"1573362631934869504,1573361822383718407,1573360955936874496,1573359772908519425,1573359197601005568,1573358958974308353,1573358757006151683,1573357225212780545,1573356935956553728,1573356760051613697"
83,23-September-2022 17:30:00-17:59:59,-0.005374999999999991,8,"1573371549050368002,1573370614835970050,1573370405284450307,1573367648209043456,1573367432986738688,1573365396203311105,1573365034105081856,1573364201086767105"
84,23-September-2022 18:00:00-18:29:59,0.46625,2,"1573376112734130176,1573372883220447232"
